Nro.,Vehículo,Odómetro,Horómetro,Fecha,Tanqueo Full,Costo por Volumen,Cant.,Unidad,Costo Total,Tipo,
106,"109",537480,,"24/abr./2024 7:13:09","S","25,29","50","Litros","1264,5","DIESEL",
105,"109",537480,,"24/abr./2024 7:06:10","S","25,29","395,37","Litros","9999","DIESEL",
111,"104",1009139,,"24/abr./2024 1:26:43","S","25,49","90,23","Litros","2300","DIESEL",
110,"102",1004720,,"24/abr./2024 1:21:38","S","25,49","90,23","Litros","2300","DIESEL",
148,"101",1055178,,"23/abr./2024 18:09:00","S","25,22","18","Litros","454","DIESEL",
147,"101",1055178,,"23/abr./2024 18:04:00","S","25,29","395,37","Litros","9999","DIESEL",
99,"102",1004312,,"23/abr./2024 14:14:04","S","25,22","46","Litros","1160","DIESEL",
98,"110",565088,,"23/abr./2024 2:57:00","S","25,2","110","Litros","2772","DIESEL",
97,"110",565088,,"23/abr./2024 2:50:00","S","25,23","396","Litros","9990","DIESEL",
96,"106",439304,,"22/abr./2024 17:00:39","S","24,62","29","Litros","714","DIESEL",
95,"101",1054278,,"20/abr./2024 12:34:00","S","24,58","31","Litros","762","DIESEL",
94,"101",1054278,,"20/abr./2024 12:31:00","S","24,99","400","Litros","9996","DIESEL",
93,"110",564116,,"20/abr./2024 3:01:02","S","25,69","65","Litros","1670","DIESEL",
92,"110",564116,,"20/abr./2024 2:54:09","S","25,7","389","Litros","9999","DIESEL",
91,"109",536461,,"19/abr./2024 21:33:44","S","25,22","51","Litros","1286","DIESEL",
90,"109",536461,,"19/abr./2024 21:28:12","S","25","400","Litros","9999","DIESEL",
83,"103",754153,,"19/abr./2024 2:46:00","S","25,42","164,39","Litros","4178,9","DIESEL",
82,"104",1008670,,"18/abr./2024 21:56:00","S","24,99","160","Litros","3998,4","DIESEL",
81,"102",1004206,,"18/abr./2024 15:39:00","S","24,99","134,86","Litros","3370,03","DIESEL",
87,"101",1053457,,"18/abr./2024 15:13:00","S","25,29","41,09","Litros","1039,17","DIESEL",
86,"101",1053457,,"18/abr./2024 15:08:00","S","25,29","395,37","Litros","9999","DIESEL",
85,"103",753474,,"18/abr./2024 14:03:00","S","23,29","149,36","Litros","3478,59","DIESEL",
80,"110",563033,,"17/abr./2024 23:50:00","S","24,99","380,34","Litros","9504,7","DIESEL",
84,"103",753320,,"17/abr./2024 17:23:00","S","25,12","151,85","Litros","3814,52","DIESEL",
79,"109",535646,,"17/abr./2024 13:26:00","S","25,23","35","Litros","883","DIESEL",
78,"109",535646,,"17/abr./2024 13:20:00","S","25,19","396,94","Litros","9999","DIESEL",
88,"106",439243,,"16/abr./2024 23:40:00","S","24,99","105,13","Litros","2627,12","DIESEL",
74,"107",1089240,,"16/abr./2024 12:41:00","S","24,99","83,55","Litros","2087,91","DIESEL",
76,"103",753212,,"16/abr./2024 11:37:00","S","24,99","49,21","Litros","1229,76","DIESEL",
75,"105",472200,,"15/abr./2024 23:10:00","S","24,99","100,01","Litros","2499,25","DIESEL",
77,"101",1052468,,"15/abr./2024 20:39:00","S","24,99","366,07","Litros","9148,09","DIESEL",
73,"101",1051655,,"14/abr./2024 16:49:00","S","25,19","41,23","Litros","1038,58","DIESEL",
